Etiquetas de fila;Suma de Total;;;
3;10.2996;;;
4;9.2484;;;
5;11.6136;;;
6;12.7188;;;
7;12.8988;;;
8;10.6416;;;
9;13.0284;;;
10;14.2308;;;
11;10.8828;;;
12;12.9888;;;
13;11.1276;;;
14;15.4188;;;
15;15.0912;;;
16;14.5548;;;
17;15.1524;;;
18;16.0956;;;
19;10.5588;;;
20;13.0284;;;
21;11.6424;;;
22;11.4732;;;
23;10.6308;;;
24;12.8988;;;
25;14.7132;;;
26;12.5928;;;
27;10.9764;;;
28;13.5252;;;
29;12.0636;;;
30;13.77;;;
12;333.1224;;;
1;11.8152;;;
2;12.9996;;;
3;13.4064;;;
4;9.9396;;;
5;11.8188;;;
6;10.4256;;;
7;11.8332;;;
8;10.4544;;;
9;10.2276;;;
10;10.2996;;;
11;10.3176;;;
12;11.7648;;;
13;12.0348;;;
14;10.89;;;
15;10.6092;;;
16;11.8692;;;
17;11.3364;;;
18;6.6204;;;
19;9.72;;;
20;13.4244;;;
21;3.8664;;;
22;9.306;;;
23;9.4464;;;
24;12.8412;;;
25;12.3624;;;
26;12.5712;;;
27;14.436;;;
28;11.6748;;;
29;10.44;;;
30;8.4816;;;
31;5.8896;;;
Total general;3518.802;;;
