1;"eplusout"

"Date/Time";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] Water Heater Tank Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] Zone Operative Temperature (C)";"[1] Site Outdoor Air Drybulb Temperature (C)"
;"SOLAR COLLECTOR WATER INLET NODE";"SOLAR COLLECTOR WATER OUTLET NODE";"SOLAR LOOP WATER HEATER HEATING INLET NODE";"SOLAR LOOP WATER HEATER HEATING OUTLET NODE";"SOLAR LOOP WATER HEATER DHW INLET NODE";"SOLAR LOOP WATER HEATER DHW OUTLET NODE";"SOLAR LOOP WATER HEATER";"3637 HEATED FLOOR HOT WATER INLET NODE";"3637 HEATED FLOOR HOT WATER OUTLET NODE";"AUX HW LOOP WATER HEATER DHW INLET NODE";"AUX HW LOOP SUPPLY SIDE OUTLET";"3637";"Environment"
"1/01/2002 01:00";"25.5265812091272";"10.5339079852155";"25.7523824459699";"65.4507280624707";"24.5540233979958";"65.4507280624707";"65.4507280624707";"42.3811802842743";"24.9735604721836";"41.8961627214842";"41.8940961754782";"21.5209060293244";"10.525"
"1/01/2002 02:00";"25.5265812091272";"9.90890798521556";"25.7523824459699";"39.1292924880067";"24.7359305979731";"39.1292924880067";"39.1292924880067";"35.6651901330685";"25.1087513321055";"35.7342305805429";"36.0478388334235";"21.1946478864783";"9.9"
"1/01/2002 03:00";"25.5265812091272";"10.3839079852156";"25.7523824459699";"26.6042906812273";"24.5676755914235";"26.6042906812273";"26.6042906812273";"27.3026661055468";"24.8582409987275";"26.596410921174";"27.1723071117964";"20.9784209266413";"10.375"
"1/01/2002 04:00";"25.5265812091272";"10.8839079852156";"25.7523824459699";"24.6188786088148";"24.3347184407227";"24.6188786088148";"24.6188786088148";"25.1466165200422";"24.5705882889327";"24.6185936566689";"25.127713575397";"20.7856519363051";"10.875"
"1/01/2002 05:00";"25.5265812091272";"11.3089079852157";"25.7523824459699";"24.285417067696";"24.2168866802498";"24.285417067696";"24.285417067696";"24.7916772438848";"24.4249986339354";"24.2854165567141";"24.787935962112";"20.6038435373597";"11.3"
"1/01/2002 06:00";"25.5265812091272";"14.978237070677";"25.7523824459699";"24.1717098131592";"24.1343773128511";"24.1717098131592";"24.1717098131592";"24.6750190720316";"24.3213960885897";"24.1717098122528";"24.6733703460279";"20.4489713641203";"11.625"
"1/01/2002 07:00";"25.5265812091272";"27.4780392472384";"25.7523824459699";"24.0915271274912";"24.0596123860215";"24.0915271274912";"24.0915271274912";"24.5943550809715";"24.2277189386387";"24.0915271274912";"24.5930452113056";"20.433271607935";"12.675"
"1/01/2002 08:00";"25.5265812091272";"44.5192683274008";"25.7523824459699";"24.0177938337847";"23.9875703688424";"24.0177938337847";"24.0177938337847";"24.5305476571173";"24.1367217792029";"24.0177938337847";"24.5296679311373";"20.8690556802";"13.525"
"1/01/2002 09:00";"24.0853178277073";"24.4876180694083";"24.5146275313623";"24.060531312121";"23.9320777458525";"24.060531312121";"24.060531312121";"24.6519634390034";"24.0683550019554";"24.0612594868588";"24.6474377466142";"21.3444957733026";"14.15"
"1/01/2002 10:00";"24.1335528120945";"24.6748004612584";"24.6774208007032";"24.135265943528";"23.8808314280791";"24.135265943528";"24.135265943528";"25.0746369644989";"24.0127016323216";"24.1351457568722";"25.0975688474165";"21.9438261575418";"14.825"
