1;"eplusout"

"Date/Time";"[1] Pump Electricity Rate (W)";"[1] Zone Radiant HVAC Heating Rate (W)";"[1] Water Heater Electricity Rate (W)";"[1] Pump Electricity Rate (W)"
;"AUX HW LOOP SUPPLY PUMP";"3686 HEATED FLOOR";"AUX HW LOOP WATER HEATER";"SOLAR LOOP SUPPLY PUMP"
"27/09/2002 00:00";"4.486062010667";"30.0231046953911";"430.832629595459";"0"
"27/09/2002 01:00";"4.48603191784054";"30.4615782598454";"430.832629595459";"0"
"27/09/2002 02:00";"4.48599400768366";"30.9338491893141";"430.832629595459";"0"
"27/09/2002 03:00";"4.48594929600015";"31.4295704826071";"430.832629595459";"0"
"27/09/2002 04:00";"4.48590396712605";"31.947553706331";"430.832629595459";"0"
"27/09/2002 05:00";"4.48586147658077";"32.4868983030253";"430.832629595459";"0"
"27/09/2002 06:00";"4.48581525318901";"33.0359171231219";"430.832629595459";"0"
"27/09/2002 07:00";"4.48576624191927";"33.5734399156786";"430.832629595459";"0"
"27/09/2002 08:00";"4.48571566719501";"32.6416502930666";"430.832629595459";"0"
"27/09/2002 09:00";"4.48567583994047";"35.3518487580236";"430.832629595459";"1.42450142450142"
"27/09/2002 10:00";"4.4856554475702";"38.9352528051726";"430.832629595459";"1.42450142450142"
"27/09/2002 11:00";"4.48565145295048";"40.5411047887745";"430.832629595459";"1.42450142450142"
"27/09/2002 12:00";"4.4856646665741";"44.6229298591985";"430.832629595459";"1.42450142450142"
"27/09/2002 13:00";"4.48568569164261";"42.5795872722778";"430.832629595459";"1.42450142450142"
"27/09/2002 14:00";"4.48571326324977";"42.4400425109916";"430.832629595459";"1.42450142450142"
"27/09/2002 15:00";"4.48574787715588";"41.1691387547803";"430.832629595459";"1.42450142450142"
"27/09/2002 16:00";"4.48578063715348";"37.0317127517129";"430.832629595459";"1.42450142450142"
"27/09/2002 17:00";"4.48580983292422";"31.4685797705825";"430.832629595459";"0"
"27/09/2002 18:00";"4.48583655121019";"29.3218760215084";"430.832629595459";"0"
"27/09/2002 19:00";"4.48585902619155";"28.8382283824343";"430.832629595459";"0"
"27/09/2002 20:00";"4.48587446767855";"28.6906836770908";"430.832629595459";"0"
"27/09/2002 21:00";"4.48588282873649";"28.6953024937551";"430.832629595459";"0"
"27/09/2002 22:00";"4.48588475766259";"28.8015721131082";"430.832629595459";"0"
"27/09/2002 23:00";"4.48588091823026";"28.979329643944";"430.832629595459";"0"
"28/09/2002 00:00";"4.48587177224441";"29.2157257427559";"430.832629595459";"0"
"28/09/2002 01:00";"4.48585709710708";"29.5237340049605";"430.832629595459";"0"
"28/09/2002 02:00";"4.48583708934675";"29.8831490428414";"430.832629595459";"0"
"28/09/2002 03:00";"4.4858127901091";"30.2591428641664";"430.832629595459";"0"
"28/09/2002 04:00";"4.48578468627579";"30.6537376971762";"430.832629595459";"0"
"28/09/2002 05:00";"4.48575261102882";"31.082412255667";"430.832629595459";"0"
"28/09/2002 06:00";"4.48571634892875";"31.5515506266407";"430.832629595459";"0"
"28/09/2002 07:00";"4.48567655897104";"32.0314838757592";"430.832629595459";"0"
"28/09/2002 08:00";"4.48563554508258";"31.879787943399";"430.832629595459";"0"
"28/09/2002 09:00";"4.4856047778454";"33.9297736075406";"430.832629595459";"1.42450142450142"
"28/09/2002 10:00";"4.48559355405435";"37.7028571644993";"430.832629595459";"1.42450142450142"
"28/09/2002 11:00";"4.48559929112425";"39.5155532833794";"430.832629595459";"1.42450142450142"
"28/09/2002 12:00";"4.48561994362995";"40.8238300785557";"430.832629595459";"1.42450142450142"
"28/09/2002 13:00";"4.48565128949575";"40.4787428526742";"430.832629595459";"1.42450142450142"
"28/09/2002 14:00";"4.48569210439508";"40.0586401419904";"430.832629595459";"1.42450142450142"
"28/09/2002 15:00";"4.48574018914899";"38.9915163603616";"430.832629595459";"1.42450142450142"
"28/09/2002 16:00";"4.48578993169043";"35.6868681901385";"430.832629595459";"1.42450142450142"
"28/09/2002 17:00";"4.48583453193446";"30.1241387543292";"430.832629595459";"0"
"28/09/2002 18:00";"4.48587448240495";"27.8908324612368";"430.832629595459";"0"
"28/09/2002 19:00";"4.48590891930243";"27.3359081847823";"430.832629595459";"0"
"28/09/2002 20:00";"4.4859403387443";"27.1223421470328";"430.832629595459";"0"
"28/09/2002 21:00";"4.48596523770031";"27.0755270814102";"430.832629595459";"0"
"28/09/2002 22:00";"4.48597995525079";"27.162224235641";"430.832629595459";"0"
"28/09/2002 23:00";"4.48598466868617";"27.359805452921";"430.832629595459";"0"
"29/09/2002 00:00";"4.48597985253036";"27.6471595133474";"430.832629595459";"0"
"29/09/2002 01:00";"4.48596528403199";"28.0307883398387";"430.832629595459";"0"
"29/09/2002 02:00";"4.48594082754228";"28.4974697379433";"430.832629595459";"0"
"29/09/2002 03:00";"4.4859106962997";"29.0173297237923";"430.832629595459";"0"
"29/09/2002 04:00";"4.48587950719012";"29.5777644880377";"430.832629595459";"0"
"29/09/2002 05:00";"4.48584262512036";"30.1754188742703";"430.832629595459";"0"
"29/09/2002 06:00";"4.48580058867756";"30.7983792608274";"430.832629595459";"0"
"29/09/2002 07:00";"4.48575468630064";"31.410959054746";"430.832629595459";"0"
"29/09/2002 08:00";"4.48570763930872";"30.9682131498235";"430.832629595459";"0"
"29/09/2002 09:00";"4.48567525619094";"35.9105600891477";"430.832629595459";"1.42450142450142"
"29/09/2002 10:00";"4.48567276376202";"43.8723687410255";"430.832629595459";"1.42450142450142"
"29/09/2002 11:00";"4.4856900581141";"45.1707563193841";"430.832629595459";"1.42450142450142"
"29/09/2002 12:00";"4.48571943070504";"42.5444576927133";"430.832629595459";"1.42450142450142"
"29/09/2002 13:00";"4.46936690986732";"41.0359632405396";"430.832629595459";"1.42450142450142"
"29/09/2002 14:00";"4.31967218684682";"40.2980214095448";"430.832629595459";"1.42450142450142"
"29/09/2002 15:00";"3.72458886897343";"38.2506525432913";"430.832629595459";"1.42450142450142"
"29/09/2002 16:00";"3.33875283410598";"34.0850414767178";"430.832629595459";"1.42450142450142"
"29/09/2002 17:00";"3.44066361779231";"28.9433513054813";"430.832629595459";"0"
"29/09/2002 18:00";"4.01405268125153";"27.4824547392141";"430.832629595459";"0"
"29/09/2002 19:00";"4.4592441805404";"27.3722480574857";"430.832629595459";"0"
"29/09/2002 20:00";"4.48619328700514";"27.046941615627";"430.832629595459";"0"
"29/09/2002 21:00";"4.48622774664221";"27.0060004729166";"430.832629595459";"0"
"29/09/2002 22:00";"4.4862521432397";"27.0574967448588";"430.832629595459";"0"
"29/09/2002 23:00";"4.48626661652946";"27.2059023118144";"430.832629595459";"0"
"30/09/2002 00:00";"4.48627114084779";"27.4489382092316";"430.832629595459";"0"
"30/09/2002 01:00";"4.48626506321399";"27.793800226967";"430.832629595459";"0"
"30/09/2002 02:00";"4.48624856953256";"28.2166729758614";"430.832629595459";"0"
"30/09/2002 03:00";"4.48622158860713";"28.720628120337";"430.832629595459";"0"
"30/09/2002 04:00";"4.48618421925485";"29.2972202687265";"430.832629595459";"0"
"30/09/2002 05:00";"4.48613839264251";"29.8967129590738";"430.832629595459";"0"
"30/09/2002 06:00";"4.48608671305567";"30.4788508798293";"430.832629595459";"0"
"30/09/2002 07:00";"4.48603144816573";"31.0189438739555";"430.832629595459";"0"
"30/09/2002 08:00";"4.4859758464734";"30.6645874876701";"430.832629595459";"0"
"30/09/2002 09:00";"4.48593908670447";"35.2171108718478";"430.832629595459";"1.42450142450142"
"30/09/2002 10:00";"4.48593286423469";"39.4574696751899";"430.832629595459";"1.42450142450142"
"30/09/2002 11:00";"4.48595109716074";"42.7641922646352";"430.832629595459";"1.42450142450142"
"30/09/2002 12:00";"4.48599209712538";"45.2290423633173";"430.832629595459";"1.42450142450142"
"30/09/2002 13:00";"4.48604329167157";"43.1273859783215";"430.832629595459";"1.42450142450142"
"30/09/2002 14:00";"4.1379201763511";"43.0424683925555";"430.832629595459";"1.42450142450142"
"30/09/2002 15:00";"3.33879168753906";"40.8743357593604";"430.832629595459";"1.42450142450142"
"30/09/2002 16:00";"2.71917018389648";"34.5077297146885";"430.832629595459";"1.42450142450142"
"30/09/2002 17:00";"2.83701988824848";"29.2321732442557";"430.832629595459";"0"
"30/09/2002 18:00";"3.40413698278621";"27.7464251601874";"430.832629595459";"0"
"30/09/2002 19:00";"4.26706835262127";"28.2581443149578";"430.832629595459";"0"
"30/09/2002 20:00";"4.48649528377364";"27.6627512294099";"430.832629595459";"0"
"30/09/2002 21:00";"4.48652793522254";"27.640552125703";"430.832629595459";"0"
"30/09/2002 22:00";"4.48654970443178";"27.7172291218886";"430.832629595459";"0"
"30/09/2002 23:00";"4.48656043609027";"27.9087753717395";"430.832629595459";"0"
"1/10/2002 00:00";"4.48656028575489";"28.2007026238311";"430.832629595459";"0"
"1/10/2002 01:00";"4.4865490620788";"28.5916598562279";"430.832629595459";"0"
"1/10/2002 02:00";"4.48652719394796";"29.0559466920447";"430.832629595459";"0"
"1/10/2002 03:00";"4.48649598204864";"29.5632411365918";"430.832629595459";"0"
"1/10/2002 04:00";"4.48645667357166";"30.0981774681788";"430.832629595459";"0"
"1/10/2002 05:00";"4.48641034637798";"30.6516412502557";"430.832629595459";"0"
"1/10/2002 06:00";"4.48635784237824";"31.2191524447627";"430.832629595459";"0"
"1/10/2002 07:00";"4.48630052631185";"31.7768043865579";"430.832629595459";"0"
"1/10/2002 08:00";"4.48624201399283";"31.2032767418311";"430.832629595459";"0"
"1/10/2002 09:00";"4.48620607602281";"37.2859896640766";"430.832629595459";"1.42450142450142"
"1/10/2002 10:00";"4.48621045027482";"44.9451856167221";"430.832629595459";"1.42450142450142"
"1/10/2002 11:00";"4.48624242068002";"48.0749160770685";"430.832629595459";"1.42450142450142"
"1/10/2002 12:00";"4.36556156218961";"50.239275702928";"430.832629595459";"1.42450142450142"
"1/10/2002 13:00";"3.17393476069809";"49.1517982358679";"430.832629595459";"1.42450142450142"
"1/10/2002 14:00";"1.93994441905133";"42.9013966586355";"430.832629595459";"1.42450142450142"
"1/10/2002 15:00";"1.25770006490084";"38.8233997223688";"430.832629595459";"1.42450142450142"
"1/10/2002 16:00";"0.594506646985896";"28.9990783946578";"430.832629595459";"1.42450142450142"
"1/10/2002 17:00";"0.538001078644582";"22.4183433596949";"430.832629595459";"0"
"1/10/2002 18:00";"1.30507537238948";"30.2113438371211";"430.832629595459";"0"
"1/10/2002 19:00";"2.68256723159014";"31.438289651331";"430.832629595459";"0"
"1/10/2002 20:00";"3.46055504195097";"30.9016202355286";"430.832629595459";"0"
"1/10/2002 21:00";"4.27068725716117";"30.4246667273127";"430.832629595459";"0"
"1/10/2002 22:00";"4.48699441753466";"29.471601645472";"430.832629595459";"0"
"1/10/2002 23:00";"4.4870132455492";"29.6671545517488";"430.832629595459";"0"
"2/10/2002 00:00";"4.48701983998243";"29.9571934904967";"430.832629595459";"0"
"2/10/2002 01:00";"4.48701384328048";"30.3605263541385";"430.832629595459";"0"
"2/10/2002 02:00";"4.48699561646672";"30.8506720032566";"430.832629595459";"0"
"2/10/2002 03:00";"4.48696617238494";"31.405005937066";"430.832629595459";"0"
"2/10/2002 04:00";"4.48692613698935";"32.0206513120614";"430.832629595459";"0"
"2/10/2002 05:00";"4.48687629079844";"32.6841523371236";"430.832629595459";"0"
"2/10/2002 06:00";"4.48681786879518";"33.3738064432834";"430.832629595459";"0"
"2/10/2002 07:00";"4.48675345805064";"34.0379314713615";"430.832629595459";"0"
"2/10/2002 08:00";"4.48668648144784";"32.8222215506116";"430.832629595459";"0"
"2/10/2002 09:00";"4.48663781171902";"36.5054415477479";"430.832629595459";"1.42450142450142"
"2/10/2002 10:00";"4.48662543416977";"42.147645775601";"430.832629595459";"1.42450142450142"
"2/10/2002 11:00";"4.48664183980535";"44.8111672336011";"430.832629595459";"1.42450142450142"
"2/10/2002 12:00";"4.42373754007953";"46.7048426322196";"430.832629595459";"1.42450142450142"
"2/10/2002 13:00";"3.57815852322167";"47.9628569543886";"430.832629595459";"1.42450142450142"
"2/10/2002 14:00";"2.78547491054998";"45.2765897683301";"430.832629595459";"1.42450142450142"
"2/10/2002 15:00";"1.93646024717118";"39.679240938122";"430.832629595459";"1.42450142450142"
"2/10/2002 16:00";"1.54389805368176";"34.413647744568";"430.832629595459";"1.42450142450142"
"2/10/2002 17:00";"1.8578578139896";"30.9563354383653";"430.832629595459";"0"
"2/10/2002 18:00";"2.54687709715331";"29.6748782053174";"430.832629595459";"0"
"2/10/2002 19:00";"3.28283174376496";"29.450692419666";"430.832629595459";"0"
"2/10/2002 20:00";"4.18016373428594";"29.553434377315";"430.832629595459";"0"
