,Unnamed: 0,4299 WATER OUTLET,4292 WATER OUTLET,AUX HW LOOP WATER HEATER,AUX HW LOOP SUPPLY SIDE INLET,Environment,Environment.1,Environment.2,AUX HW LOOP WATER HEATER DHW INLET NODE,AUX HW LOOP SUPPLY SIDE OUTLET
43,2/01/2002 20:00,1404.07009711018,185.969013323357,0.0,16.7893429664879,6.975,0.0,0.0,54.969132026164,52.6493158361687
44,2/01/2002 21:00,1428.19647926201,189.164551418694,0.0,16.7893435392674,7.15,0.0,0.0,54.6363131377701,53.2958298286346
45,2/01/2002 22:00,1435.1555492792,190.086279890376,0.0,16.7893435392709,7.275,0.0,0.0,52.8457301430498,53.4213538336574
46,2/01/2002 23:00,1419.22138057331,187.97580005147,0.0,16.7893435392709,7.225,0.0,0.0,50.9910055234236,52.9732407346744
47,3/01/2002 00:00,0.0,0.0,0.0,16.7893435392709,7.125,0.0,0.0,16.7893435392709,52.6096733363472
48,3/01/2002 01:00,0.0,0.0,0.0,16.7893435392709,7.025,0.0,0.0,16.7893435392709,52.6096733363472
49,3/01/2002 02:00,0.0,0.0,0.0,16.7893435392709,6.7,0.0,0.0,16.7893435392709,52.6096733363472
50,3/01/2002 03:00,0.0,0.0,0.0,16.7893435392709,6.3,0.0,0.0,16.7893435392709,52.6096733363472
51,3/01/2002 04:00,0.0,0.0,0.0,16.7893435392709,5.9,0.0,0.0,16.7893435392709,52.6096733363472
52,3/01/2002 05:00,0.0,0.0,0.0,16.7893435392709,5.725,0.0,0.0,16.7893435392709,52.6096733363472
53,3/01/2002 06:00,0.0,0.0,0.0,16.7893435392709,5.7,32.25,31.0,16.7893435392709,52.6096733363472
54,3/01/2002 07:00,0.0,0.0,0.0,16.7893435392709,5.625,132.25,125.0,16.7893435392709,52.6096733363472
55,3/01/2002 08:00,6867.97671784097,909.663168792952,2020.98384933151,16.8403219203336,5.675,253.25,143.0,46.0721228646557,51.921209002085
56,3/01/2002 09:00,6968.0626686863,922.919547918571,2434.84100426759,16.8411859631888,5.85,353.75,170.75,41.1947112074591,52.398630126244
57,3/01/2002 10:00,6967.86231165964,922.893010640526,3625.84925550074,16.8411859631888,5.975,463.25,134.25,39.714418754498,52.4133496314002
58,3/01/2002 11:00,0.0,0.0,0.0,16.8411859631888,6.3,469.5,174.0,16.8411859631888,50.0207644966875
59,3/01/2002 12:00,0.0,0.0,0.0,16.8411859631888,6.7,493.25,152.0,16.8411859631888,50.0207644966875
60,3/01/2002 13:00,0.0,0.0,0.0,16.8411859631888,7.1,489.0,137.25,16.8411859631888,50.0207644966875
61,3/01/2002 14:00,0.0,0.0,0.0,16.8411859631888,7.05,472.25,139.25,16.8411859631888,50.0207644966875
62,3/01/2002 15:00,0.0,0.0,0.0,16.8411859631888,6.925,379.25,192.0,16.8411859631888,50.0207644966875
