"Building";"Block";"Zone";"Comfort Temperature (°C)";"Steady-State Heat Loss (kW)";"Intermittent Heat Loss (kW)";"Design Capacity (kW)";"Design Capacity (W/m2)";"Glazing Gains (kW)";"Wall Gains (kW)";"Floor Gains (kW)";"Roof and Ceiling Gains (kW)";"Ventilation Gains (kW)";"Infiltration Gains (kW)";
"Building 1";"Block 1";"Dorm 9";"18.00";"1.30";"0.00";"1.62";"150.2974";"0.000";"-0.401";"0.071";"-0.825";"-0.044";"-0.099";"";
"Building 1";"Block 1";"Dorm 10";"18.00";"1.19";"0.00";"1.49";"136.7707";"0.000";"-0.287";"0.066";"-0.826";"-0.044";"-0.099";"";
"Building 1";"Block 1";"Dorm 11";"18.00";"1.19";"0.00";"1.49";"136.6650";"0.000";"-0.286";"0.066";"-0.826";"-0.044";"-0.099";"";
"Building 1";"Block 1";"Dorm 12";"18.00";"1.19";"0.00";"1.49";"136.6641";"0.000";"-0.286";"0.066";"-0.826";"-0.044";"-0.099";"";
"Building 1";"Block 1";"Dorm 13";"18.00";"1.19";"0.00";"1.49";"136.6650";"0.000";"-0.286";"0.066";"-0.826";"-0.044";"-0.099";"";
"Building 1";"Block 1";"Dorm 14";"18.00";"1.19";"0.00";"1.49";"136.7708";"0.000";"-0.287";"0.066";"-0.826";"-0.044";"-0.099";"";
"Building 1";"Block 1";"Dorm 8";"18.00";"1.30";"0.00";"1.62";"150.3131";"0.000";"-0.401";"0.071";"-0.825";"-0.044";"-0.099";"";
"Building 1";"Block 1";"Dorm 2";"18.00";"1.30";"0.00";"1.62";"150.2974";"0.000";"-0.401";"0.071";"-0.825";"-0.044";"-0.099";"";
"Building 1";"Block 1";"Dorm 3";"18.00";"1.19";"0.00";"1.49";"136.7707";"0.000";"-0.287";"0.066";"-0.826";"-0.044";"-0.099";"";
"Building 1";"Block 1";"Dorm 4";"18.00";"1.19";"0.00";"1.49";"136.6650";"0.000";"-0.286";"0.066";"-0.826";"-0.044";"-0.099";"";
"Building 1";"Block 1";"Dorm 5";"18.00";"1.19";"0.00";"1.49";"136.6641";"0.000";"-0.286";"0.066";"-0.826";"-0.044";"-0.099";"";
"Building 1";"Block 1";"Dorm 6";"18.00";"1.19";"0.00";"1.49";"136.6650";"0.000";"-0.286";"0.066";"-0.826";"-0.044";"-0.099";"";
"Building 1";"Block 1";"Dorm 7";"18.00";"1.19";"0.00";"1.49";"136.7708";"0.000";"-0.287";"0.066";"-0.826";"-0.044";"-0.099";"";
"Building 1";"Block 1";"Dorm 1";"18.00";"1.30";"0.00";"1.62";"150.3131";"0.000";"-0.401";"0.071";"-0.825";"-0.044";"-0.099";"";
"Building 1";"Block 1";"Corredor";"8.52";"0.00";"0.00";"0.00";"0.0000";"0.000";"1.649";"1.306";"-2.620";"-0.083";"-0.175";"";

