"Building";"Block";"Zone";"Comfort Temperature (°C)";"Steady-State Heat Loss (kW)";"Intermittent Heat Loss (kW)";"Design Capacity (kW)";"Design Capacity (W/m2)";"Glazing Gains (kW)";"Wall Gains (kW)";"Floor Gains (kW)";"Roof and Ceiling Gains (kW)";"Ventilation Gains (kW)";"Infiltration Gains (kW)";
"Building 1";"Block 1";"Dorm 9";"18.00";"0.57";"0.00";"0.71";"65.9078";"-0.027";"-0.212";"0.003";"-0.081";"-0.161";"-0.089";"";
"Building 1";"Block 1";"Dorm 10";"18.00";"0.52";"0.00";"0.65";"59.6622";"-0.027";"-0.162";"0.003";"-0.081";"-0.161";"-0.089";"";
"Building 1";"Block 1";"Dorm 11";"18.00";"0.52";"0.00";"0.65";"59.5611";"-0.027";"-0.162";"0.003";"-0.081";"-0.161";"-0.089";"";
"Building 1";"Block 1";"Dorm 12";"18.00";"0.52";"0.00";"0.65";"59.5593";"-0.027";"-0.162";"0.003";"-0.081";"-0.161";"-0.089";"";
"Building 1";"Block 1";"Dorm 13";"18.00";"0.52";"0.00";"0.65";"59.5611";"-0.027";"-0.162";"0.003";"-0.081";"-0.161";"-0.089";"";
"Building 1";"Block 1";"Dorm 14";"18.00";"0.52";"0.00";"0.65";"59.6624";"-0.027";"-0.162";"0.003";"-0.081";"-0.161";"-0.089";"";
"Building 1";"Block 1";"Dorm 8";"18.00";"0.57";"0.00";"0.71";"65.9198";"-0.027";"-0.212";"0.003";"-0.081";"-0.161";"-0.089";"";
"Building 1";"Block 1";"Dorm 2";"18.00";"0.57";"0.00";"0.71";"65.9078";"-0.027";"-0.212";"0.003";"-0.081";"-0.161";"-0.089";"";
"Building 1";"Block 1";"Dorm 3";"18.00";"0.52";"0.00";"0.65";"59.6622";"-0.027";"-0.162";"0.003";"-0.081";"-0.161";"-0.089";"";
"Building 1";"Block 1";"Dorm 4";"18.00";"0.52";"0.00";"0.65";"59.5611";"-0.027";"-0.162";"0.003";"-0.081";"-0.161";"-0.089";"";
"Building 1";"Block 1";"Dorm 5";"18.00";"0.52";"0.00";"0.65";"59.5593";"-0.027";"-0.162";"0.003";"-0.081";"-0.161";"-0.089";"";
"Building 1";"Block 1";"Dorm 6";"18.00";"0.52";"0.00";"0.65";"59.5611";"-0.027";"-0.162";"0.003";"-0.081";"-0.161";"-0.089";"";
"Building 1";"Block 1";"Dorm 7";"18.00";"0.52";"0.00";"0.65";"59.6624";"-0.027";"-0.162";"0.003";"-0.081";"-0.161";"-0.089";"";
"Building 1";"Block 1";"Dorm 1";"18.00";"0.57";"0.00";"0.71";"65.9198";"-0.027";"-0.212";"0.003";"-0.081";"-0.161";"-0.089";"";
"Building 1";"Block 1";"Corredor";"10.87";"0.00";"0.00";"0.00";"0.0000";"0.000";"1.215";"0.097";"-0.301";"-0.411";"-0.213";"";

