"Building";"Block";"Zone";"Comfort Temperature (°C)";"Steady-State Heat Loss (kW)";"Intermittent Heat Loss (kW)";"Design Capacity (kW)";"Design Capacity (W/m2)";"Glazing Gains (kW)";"Wall Gains (kW)";"Floor Gains (kW)";"Roof and Ceiling Gains (kW)";"Ventilation Gains (kW)";"Infiltration Gains (kW)";
"Building 1";"Block 1";"Dorm 9";"18.00";"0.66";"0.00";"0.82";"76.3211";"-0.027";"-0.333";"0.036";"-0.081";"-0.164";"-0.090";"";
"Building 1";"Block 1";"Dorm 10";"18.00";"0.55";"0.00";"0.69";"63.1365";"-0.028";"-0.218";"0.029";"-0.081";"-0.162";"-0.089";"";
"Building 1";"Block 1";"Dorm 11";"18.00";"0.55";"0.00";"0.68";"62.9520";"-0.028";"-0.217";"0.029";"-0.081";"-0.162";"-0.089";"";
"Building 1";"Block 1";"Dorm 12";"18.00";"0.55";"0.00";"0.68";"62.9490";"-0.028";"-0.217";"0.029";"-0.081";"-0.162";"-0.089";"";
"Building 1";"Block 1";"Dorm 13";"18.00";"0.55";"0.00";"0.68";"62.9520";"-0.028";"-0.217";"0.029";"-0.081";"-0.162";"-0.089";"";
"Building 1";"Block 1";"Dorm 14";"18.00";"0.55";"0.00";"0.69";"63.1367";"-0.028";"-0.218";"0.029";"-0.081";"-0.162";"-0.089";"";
"Building 1";"Block 1";"Dorm 8";"18.00";"0.66";"0.00";"0.82";"76.3360";"-0.027";"-0.333";"0.036";"-0.081";"-0.164";"-0.090";"";
"Building 1";"Block 1";"Dorm 2";"18.00";"0.66";"0.00";"0.82";"76.3211";"-0.027";"-0.333";"0.036";"-0.081";"-0.164";"-0.090";"";
"Building 1";"Block 1";"Dorm 3";"18.00";"0.55";"0.00";"0.69";"63.1365";"-0.028";"-0.218";"0.029";"-0.081";"-0.162";"-0.089";"";
"Building 1";"Block 1";"Dorm 4";"18.00";"0.55";"0.00";"0.68";"62.9520";"-0.028";"-0.217";"0.029";"-0.081";"-0.162";"-0.089";"";
"Building 1";"Block 1";"Dorm 5";"18.00";"0.55";"0.00";"0.68";"62.9490";"-0.028";"-0.217";"0.029";"-0.081";"-0.162";"-0.089";"";
"Building 1";"Block 1";"Dorm 6";"18.00";"0.55";"0.00";"0.68";"62.9520";"-0.028";"-0.217";"0.029";"-0.081";"-0.162";"-0.089";"";
"Building 1";"Block 1";"Dorm 7";"18.00";"0.55";"0.00";"0.69";"63.1367";"-0.028";"-0.218";"0.029";"-0.081";"-0.162";"-0.089";"";
"Building 1";"Block 1";"Dorm 1";"18.00";"0.66";"0.00";"0.82";"76.3360";"-0.027";"-0.333";"0.036";"-0.081";"-0.164";"-0.090";"";
"Building 1";"Block 1";"Corredor";"12.41";"0.00";"0.00";"0.00";"0.0000";"0.000";"0.765";"0.718";"-0.323";"-0.472";"-0.244";"";

