"Building";"Block";"Zone";"Comfort Temperature (°C)";"Steady-State Heat Loss (kW)";"Intermittent Heat Loss (kW)";"Design Capacity (kW)";"Design Capacity (W/m2)";"Glazing Gains (kW)";"Wall Gains (kW)";"Floor Gains (kW)";"Roof and Ceiling Gains (kW)";"Ventilation Gains (kW)";"Infiltration Gains (kW)";
"Building 1";"Block 1";"Dorm 9";"18.00";"0.46";"0.00";"0.57";"53.0550";"-0.083";"-0.168";"0.003";"-0.081";"-0.040";"-0.089";"";
"Building 1";"Block 1";"Dorm 10";"18.00";"0.41";"0.00";"0.51";"46.9886";"-0.084";"-0.118";"0.003";"-0.081";"-0.039";"-0.089";"";
"Building 1";"Block 1";"Dorm 11";"18.00";"0.41";"0.00";"0.51";"46.8920";"-0.084";"-0.117";"0.003";"-0.081";"-0.039";"-0.089";"";
"Building 1";"Block 1";"Dorm 12";"18.00";"0.41";"0.00";"0.51";"46.8903";"-0.084";"-0.117";"0.003";"-0.081";"-0.039";"-0.089";"";
"Building 1";"Block 1";"Dorm 13";"18.00";"0.41";"0.00";"0.51";"46.8920";"-0.084";"-0.117";"0.003";"-0.081";"-0.039";"-0.089";"";
"Building 1";"Block 1";"Dorm 14";"18.00";"0.41";"0.00";"0.51";"46.9888";"-0.084";"-0.118";"0.003";"-0.081";"-0.039";"-0.089";"";
"Building 1";"Block 1";"Dorm 8";"18.00";"0.46";"0.00";"0.57";"53.0667";"-0.083";"-0.168";"0.003";"-0.081";"-0.040";"-0.089";"";
"Building 1";"Block 1";"Dorm 2";"18.00";"0.46";"0.00";"0.57";"53.0550";"-0.083";"-0.168";"0.003";"-0.081";"-0.040";"-0.089";"";
"Building 1";"Block 1";"Dorm 3";"18.00";"0.41";"0.00";"0.51";"46.9886";"-0.084";"-0.118";"0.003";"-0.081";"-0.039";"-0.089";"";
"Building 1";"Block 1";"Dorm 4";"18.00";"0.41";"0.00";"0.51";"46.8920";"-0.084";"-0.117";"0.003";"-0.081";"-0.039";"-0.089";"";
"Building 1";"Block 1";"Dorm 5";"18.00";"0.41";"0.00";"0.51";"46.8903";"-0.084";"-0.117";"0.003";"-0.081";"-0.039";"-0.089";"";
"Building 1";"Block 1";"Dorm 6";"18.00";"0.41";"0.00";"0.51";"46.8920";"-0.084";"-0.117";"0.003";"-0.081";"-0.039";"-0.089";"";
"Building 1";"Block 1";"Dorm 7";"18.00";"0.41";"0.00";"0.51";"46.9888";"-0.084";"-0.118";"0.003";"-0.081";"-0.039";"-0.089";"";
"Building 1";"Block 1";"Dorm 1";"18.00";"0.46";"0.00";"0.57";"53.0667";"-0.083";"-0.168";"0.003";"-0.081";"-0.040";"-0.089";"";
"Building 1";"Block 1";"Corredor";"12.88";"0.00";"0.00";"0.00";"0.0000";"0.000";"0.763";"0.071";"-0.324";"-0.126";"-0.267";"";

