"Building";"Block";"Zone";"Comfort Temperature (°C)";"Steady-State Heat Loss (kW)";"Intermittent Heat Loss (kW)";"Design Capacity (kW)";"Design Capacity (W/m2)";"Glazing Gains (kW)";"Wall Gains (kW)";"Floor Gains (kW)";"Roof and Ceiling Gains (kW)";"Ventilation Gains (kW)";"Infiltration Gains (kW)";
"Building 1";"Block 1";"Dorm 9";"18.00";"0.41";"0.00";"0.52";"48.1645";"-0.027";"-0.182";"0.003";"-0.081";"-0.039";"-0.088";"";
"Building 1";"Block 1";"Dorm 10";"18.00";"0.37";"0.00";"0.46";"42.0757";"-0.027";"-0.132";"0.003";"-0.081";"-0.039";"-0.088";"";
"Building 1";"Block 1";"Dorm 11";"18.00";"0.36";"0.00";"0.46";"41.9723";"-0.027";"-0.131";"0.003";"-0.081";"-0.039";"-0.088";"";
"Building 1";"Block 1";"Dorm 12";"18.00";"0.36";"0.00";"0.46";"41.9704";"-0.027";"-0.131";"0.003";"-0.081";"-0.039";"-0.088";"";
"Building 1";"Block 1";"Dorm 13";"18.00";"0.36";"0.00";"0.46";"41.9723";"-0.027";"-0.131";"0.003";"-0.081";"-0.039";"-0.088";"";
"Building 1";"Block 1";"Dorm 14";"18.00";"0.37";"0.00";"0.46";"42.0757";"-0.027";"-0.132";"0.003";"-0.081";"-0.039";"-0.088";"";
"Building 1";"Block 1";"Dorm 8";"18.00";"0.41";"0.00";"0.52";"48.1645";"-0.027";"-0.182";"0.003";"-0.081";"-0.039";"-0.088";"";
"Building 1";"Block 1";"Dorm 2";"18.00";"0.41";"0.00";"0.52";"48.1751";"-0.027";"-0.182";"0.003";"-0.081";"-0.039";"-0.088";"";
"Building 1";"Block 1";"Dorm 3";"18.00";"0.37";"0.00";"0.46";"42.0861";"-0.027";"-0.132";"0.003";"-0.081";"-0.039";"-0.088";"";
"Building 1";"Block 1";"Dorm 4";"18.00";"0.36";"0.00";"0.46";"41.9827";"-0.027";"-0.131";"0.003";"-0.081";"-0.039";"-0.088";"";
"Building 1";"Block 1";"Dorm 5";"18.00";"0.36";"0.00";"0.46";"41.9808";"-0.027";"-0.131";"0.003";"-0.081";"-0.039";"-0.088";"";
"Building 1";"Block 1";"Dorm 6";"18.00";"0.36";"0.00";"0.46";"41.9827";"-0.027";"-0.131";"0.003";"-0.081";"-0.039";"-0.088";"";
"Building 1";"Block 1";"Dorm 7";"18.00";"0.37";"0.00";"0.46";"42.0861";"-0.027";"-0.132";"0.003";"-0.081";"-0.039";"-0.088";"";
"Building 1";"Block 1";"Dorm 1";"18.00";"0.41";"0.00";"0.52";"48.1751";"-0.027";"-0.182";"0.003";"-0.081";"-0.039";"-0.088";"";
"Building 1";"Block 1";"Corredor";"12.93";"0.00";"0.00";"0.00";"0.0000";"0.000";"0.767";"0.071";"-0.325";"-0.126";"-0.268";"";

