"Building";"Block";"Zone";"Comfort Temperature (°C)";"Steady-State Heat Loss (kW)";"Intermittent Heat Loss (kW)";"Design Capacity (kW)";"Design Capacity (W/m2)";"Glazing Gains (kW)";"Wall Gains (kW)";"Floor Gains (kW)";"Roof and Ceiling Gains (kW)";"Ventilation Gains (kW)";"Infiltration Gains (kW)";
"Building 1";"Block 1";"Dorm 9";"18.00";"0.55";"0.00";"0.68";"63.4761";"0.000";"-0.219";"0.003";"-0.081";"-0.161";"-0.088";"";
"Building 1";"Block 1";"Dorm 10";"18.00";"0.50";"0.00";"0.62";"57.2364";"0.000";"-0.169";"0.003";"-0.081";"-0.161";"-0.088";"";
"Building 1";"Block 1";"Dorm 11";"18.00";"0.50";"0.00";"0.62";"57.1330";"0.000";"-0.169";"0.003";"-0.081";"-0.160";"-0.088";"";
"Building 1";"Block 1";"Dorm 12";"18.00";"0.50";"0.00";"0.62";"57.1311";"0.000";"-0.169";"0.003";"-0.081";"-0.160";"-0.088";"";
"Building 1";"Block 1";"Dorm 13";"18.00";"0.50";"0.00";"0.62";"57.1330";"0.000";"-0.169";"0.003";"-0.081";"-0.160";"-0.088";"";
"Building 1";"Block 1";"Dorm 14";"18.00";"0.50";"0.00";"0.62";"57.2366";"0.000";"-0.169";"0.003";"-0.081";"-0.161";"-0.088";"";
"Building 1";"Block 1";"Dorm 8";"18.00";"0.55";"0.00";"0.68";"63.4880";"0.000";"-0.219";"0.003";"-0.081";"-0.161";"-0.088";"";
"Building 1";"Block 1";"Dorm 2";"18.00";"0.55";"0.00";"0.68";"63.4761";"0.000";"-0.219";"0.003";"-0.081";"-0.161";"-0.088";"";
"Building 1";"Block 1";"Dorm 3";"18.00";"0.50";"0.00";"0.62";"57.2364";"0.000";"-0.169";"0.003";"-0.081";"-0.161";"-0.088";"";
"Building 1";"Block 1";"Dorm 4";"18.00";"0.50";"0.00";"0.62";"57.1330";"0.000";"-0.169";"0.003";"-0.081";"-0.160";"-0.088";"";
"Building 1";"Block 1";"Dorm 5";"18.00";"0.50";"0.00";"0.62";"57.1311";"0.000";"-0.169";"0.003";"-0.081";"-0.160";"-0.088";"";
"Building 1";"Block 1";"Dorm 6";"18.00";"0.50";"0.00";"0.62";"57.1330";"0.000";"-0.169";"0.003";"-0.081";"-0.160";"-0.088";"";
"Building 1";"Block 1";"Dorm 7";"18.00";"0.50";"0.00";"0.62";"57.2366";"0.000";"-0.169";"0.003";"-0.081";"-0.161";"-0.088";"";
"Building 1";"Block 1";"Dorm 1";"18.00";"0.55";"0.00";"0.68";"63.4880";"0.000";"-0.219";"0.003";"-0.081";"-0.161";"-0.088";"";
"Building 1";"Block 1";"Corredor";"10.89";"0.00";"0.00";"0.00";"0.0000";"0.000";"1.217";"0.097";"-0.302";"-0.412";"-0.213";"";

