1;"eplusout"

"Date/Time";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] Water Heater Tank Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)"
;"SOLAR COLLECTOR WATER INLET NODE";"SOLAR COLLECTOR WATER OUTLET NODE";"SOLAR LOOP WATER HEATER DHW INLET NODE";"SOLAR LOOP WATER HEATER DHW OUTLET NODE";"SOLAR LOOP WATER HEATER HEATING OUTLET NODE";"SOLAR LOOP WATER HEATER HEATING INLET NODE";"SOLAR LOOP WATER HEATER";"TEMPERING VALVE WATER INLET NODE";"AUX HW LOOP WATER HEATER DHW INLET NODE";"SOLAR LOOP WATER HEATER DHW OUTLET NODE";"SOLAR LOOP WATER HEATER DHW INLET NODE";"AUX HW LOOP WATER HEATER DHW INLET NODE";"AUX HW LOOP SUPPLY SIDE OUTLET";"3637 HEATED FLOOR HOT WATER INLET NODE";"3637 HEATED FLOOR HOT WATER OUTLET NODE"
"2/01/2002 00:00";"80.2688937518129";"13.4091487322205";"40";"80.2083681547643";"80.2083681547643";"79.8354103358273";"80.2083681547643";"40";"40";"80.2083681547643";"40";"40";"40";"40";"40"
"2/01/2002 01:00";"80.2688937518129";"13.0841487322206";"40";"80.2083681547643";"80.2083681547643";"79.8354103358273";"80.2083681547643";"40";"40";"80.2083681547643";"40";"40";"40";"40";"40"
"2/01/2002 02:00";"80.2688937518129";"12.2591487322206";"40";"80.2083681547643";"80.2083681547643";"79.8354103358273";"80.2083681547643";"40";"40";"80.2083681547643";"40";"40";"40";"40";"40"
"2/01/2002 03:00";"80.2688937518129";"11.2591487322205";"40";"80.2083681547643";"80.2083681547643";"79.8354103358273";"80.2083681547643";"40";"40";"80.2083681547643";"40";"40";"40";"40";"40"
"2/01/2002 04:00";"80.2688937518129";"10.2591487322206";"40";"80.2083681547643";"80.2083681547643";"79.8354103358273";"80.2083681547643";"40";"40";"80.2083681547643";"40";"40";"40";"40";"40"
"2/01/2002 05:00";"80.2688937518129";"10.2341487322205";"40";"80.2083681547643";"80.2083681547643";"79.8354103358273";"80.2083681547643";"40";"40";"80.2083681547643";"40";"40";"40";"40";"40"
"2/01/2002 06:00";"80.2688937518129";"13.9288579120794";"40";"80.2083681547643";"80.2083681547643";"79.8354103358273";"80.2083681547643";"40";"40";"80.2083681547643";"40";"40";"40";"40";"40"
"2/01/2002 07:00";"80.2688937518129";"25.2960477648506";"40";"80.2083681547643";"80.2083681547643";"79.8354103358273";"80.2083681547643";"40";"40";"80.2083681547643";"40";"40";"40";"40";"40"
"2/01/2002 08:00";"80.2688937518129";"41.0003669395901";"40";"80.2083681547643";"80.2083681547643";"79.8354103358273";"80.2083681547643";"40";"40";"80.2083681547643";"40";"40";"40";"40";"40"
"2/01/2002 09:00";"80.1350673506581";"79.9081290745145";"40";"80.1322488250557";"80.1322488250557";"79.9127694570168";"80.1322488250557";"40";"40";"80.1322488250557";"40";"40";"40";"40";"40"
