1;"eplusout"

"Date/Time";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] Zone Total Internal Latent Gain Energy (W)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] Water Heater Tank Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] Site Outdoor Air Dewpoint Temperature (C)";"[1] Zone Operative Temperature (C)"
;"SOLAR COLLECTOR WATER INLET NODE";"SOLAR COLLECTOR WATER OUTLET NODE";"3637";"SOLAR LOOP WATER HEATER HEATING INLET NODE";"SOLAR LOOP WATER HEATER HEATING OUTLET NODE";"SOLAR LOOP WATER HEATER DHW INLET NODE";"SOLAR LOOP WATER HEATER DHW OUTLET NODE";"SOLAR LOOP WATER HEATER";"3700 HEATED FLOOR HOT WATER INLET NODE";"3700 HEATED FLOOR HOT WATER OUTLET NODE";"AUX HW LOOP WATER HEATER DHW INLET NODE";"AUX HW LOOP SUPPLY SIDE OUTLET";"Environment";"3700"
"1/01/2002 01:00";"22.3768901173274";"10.5339402691563";"3.55899424585353";"22.3404508478759";"80";"19.0774082430281";"80";"80";"19.8395312715924";"19.8395312715924";"19.0774082430281";"40";"4.825";"20.6502456985378"
"1/01/2002 02:00";"22.3768901173274";"9.90894026915627";"0.491739304639914";"22.3404508478759";"80";"19.0774082430281";"80";"80";"19.8395312715924";"19.8395312715924";"19.0774082430281";"40";"4.8";"19.5670316388964"
"1/01/2002 03:00";"22.3768901173274";"10.3839402691563";"0";"22.3404508478759";"74.7984986753051";"20.8078803304512";"74.7984986753051";"74.7984986753051";"37.7814302518433";"20.8014619374017";"40.2413008487985";"40.1750536214641";"4.95";"18.858722125235"
"1/01/2002 04:00";"22.3768901173274";"10.8839402691563";"0";"22.3404508478759";"65.298449472399";"21.6419291338225";"65.298449472399";"65.298449472399";"40.0742092394184";"21.6452177994582";"40.0235803040922";"40.0353609438516";"5.225";"18.7339183884437"
"1/01/2002 05:00";"22.3768901173274";"11.3089402691562";"0";"22.3404508478759";"54.8931562509508";"22.0194182989163";"54.8931562509508";"54.8931562509508";"39.8857491840365";"21.9960714216762";"39.9275619193426";"39.9268441654223";"5.6";"18.6345258386453"
"1/01/2002 06:00";"22.3768901173274";"14.7480933341006";"0";"22.3404508478759";"44.1598576657715";"22.0213051991273";"44.1598576657715";"44.1598576657715";"39.4574544472959";"21.7104831423234";"39.6695953471692";"39.6709144023723";"5.85";"18.6298544876197"
"1/01/2002 07:00";"22.3768901173274";"25.7975209521075";"0.176990436741939";"22.3404508478759";"40.736081081273";"21.9808156605506";"40.736081081273";"40.736081081273";"39.9392071176481";"39.9392071176481";"21.9808156605506";"40.0010399189259";"6.425";"19.6639469483504"
"1/01/2002 08:00";"22.3768901173274";"43.2357809601334";"4.20216128137723";"22.3404508478759";"40.736081081273";"21.9808156605506";"40.736081081273";"40.736081081273";"39.9392071176481";"39.9392071176481";"21.9808156605506";"40.0010399189259";"6.75";"21.7775771501752"
"1/01/2002 09:00";"40.2533228962864";"40.6479949269995";"12.4725551171877";"40.3421266507268";"40.5575284904046";"21.9808156605506";"40.5575284904046";"40.5575284904046";"39.9392071176481";"39.9392071176481";"21.9808156605506";"40.0010399189259";"6.95";"24.4411694587851"
"1/01/2002 10:00";"40.7670307292667";"41.3879846751914";"22.9436336777785";"41.3861700824673";"40.7716480308973";"21.9808156605506";"40.7716480308973";"40.7716480308973";"39.9392071176481";"39.9392071176481";"21.9808156605506";"40.0010399189259";"7.15";"27.8992604086241"
"1/01/2002 11:00";"41.0938127870352";"41.9156629842644";"38.8603794179588";"41.9129199668809";"41.0999561070271";"21.9808156605506";"41.0999561070271";"41.0999561070271";"39.9392071176481";"39.9392071176481";"21.9808156605506";"40.0010399189259";"6.675";"31.3289475717581"
"1/01/2002 12:00";"41.500000656864";"42.464825868123";"56.4850239469656";"42.4620868457305";"41.5072487276989";"21.9808156605506";"41.5072487276989";"41.5072487276989";"39.9392071176481";"39.9392071176481";"21.9808156605506";"40.0010399189259";"6.05";"34.6770484571731"
"1/01/2002 13:00";"41.9501759914893";"42.9523426306651";"74.7656940090725";"42.9513040507752";"41.9577002371579";"21.9808156605506";"41.9577002371579";"41.9577002371579";"39.9392071176481";"39.9392071176481";"21.9808156605506";"40.0010399189259";"5.375";"37.5499257595924"
"1/01/2002 14:00";"42.3790053975926";"43.2321728640394";"82.18631304";"43.2355010524624";"42.3853731299297";"21.9808156605506";"42.3853731299297";"42.3853731299297";"39.9392071176481";"39.9392071176481";"21.9808156605506";"40.0010399189259";"5.2";"39.2799662798647"
"1/01/2002 15:00";"42.713207535249";"43.2989696718993";"82.18631304";"43.3059978974869";"42.717181165984";"21.9808156605506";"42.717181165984";"42.717181165984";"39.9392071176481";"39.9392071176481";"21.9808156605506";"40.0010399189259";"5.2";"39.8101498976915"
"1/01/2002 16:00";"42.9052832550636";"43.1118292859929";"82.18631304";"43.1232105821757";"42.9077983422721";"21.9808156605506";"42.9077983422721";"42.9077983422721";"39.9392071176481";"39.9392071176481";"21.9808156605506";"40.0010399189259";"5.2";"39.3451390315067"
"1/01/2002 17:00";"42.9266295381411";"42.8144622752666";"80.6277068311017";"42.8256562174886";"42.926009016294";"21.9808156605506";"42.926009016294";"42.926009016294";"39.9392071176481";"39.9392071176481";"21.9808156605506";"40.0010399189259";"5.275";"37.671281174566"
