1;"eplusout"

"Date/Time";"[1] Site Outdoor Air Drybulb Temperature (C)";"[1] Zone Operative Temperature (C)";"[1] Surface Inside Face Conduction Heat Transfer Rate (W)";"[1] Surface Inside Face Conduction Heat Transfer Rate (W)";"[1] Surface Inside Face Conduction Heat Transfer Rate (W)";"[1] Surface Inside Face Conduction Heat Transfer Rate (W)";"[1] Surface Inside Face Conduction Heat Transfer Rate (W)";"[1] Surface Inside Face Conduction Heat Transfer Rate (W)"
;"Environment";"3658";"3658_GROUNDFLOOR_0_0_0";"3658_PARTITION_2_0_0";"3658_PARTITION_4_0_10004";"3658_PARTITION_5_0_0";"3658_ROOF_1_0_0";"3658_WALL_3_0_0"
"1/01/2002 01:00";"4.15";"17.2144519838174";"37.00231600642";"15.5456073525033";"15.345369603496";"25.9199759274865";"-2.97257425374153";"-29.7027971832322"
"1/01/2002 02:00";"3.875";"16.9201383141526";"43.1306595303493";"14.6144132584068";"14.4157399682219";"25.4245166941709";"-5.37971882360341";"-30.7073349176951"
"1/01/2002 03:00";"3.725";"16.6487917408761";"48.5356291700374";"13.6514876704204";"13.453341025122";"24.6885769409185";"-6.95715725357934";"-30.9581262075088"
"1/01/2002 04:00";"3.7";"16.3999310563795";"53.2081549903015";"12.6778286458392";"12.4794216663212";"23.7814499619815";"-8.67011033815879";"-31.3792300256409"
"1/01/2002 05:00";"3.625";"16.165659582024";"57.3481069160284";"11.7957509394683";"11.5963219990553";"22.8740858745211";"-10.293178366094";"-31.5696852809538"
"1/01/2002 06:00";"3.525";"15.9626317503404";"59.6331450376584";"10.303716690348";"10.1023954487096";"21.0090449867492";"-13.1300498436731";"-32.0271596107152"
"1/01/2002 07:00";"3.425";"15.8490165816614";"56.4763521407829";"6.22874861696392";"6.02500663001095";"15.2039247792253";"-16.6022555444697";"-32.0209361976634"
"1/01/2002 08:00";"3.325";"16.0721946025305";"39.6261724036088";"-5.01781058061134";"-5.22284287848386";"-1.06933440836528";"-23.4888876550744";"-34.2575706816629"
"1/01/2002 09:00";"3.3";"16.345081743154";"26.4704156257585";"-11.1493026484678";"-11.3575840772511";"-11.2485774323962";"-15.1600000670506";"-29.9219746797281"
"1/01/2002 10:00";"3.675";"16.7370340275401";"10.2390680297782";"-16.7685772687192";"-16.9805001175821";"-21.326495850393";"-3.01109781563457";"-25.6203884824812"
"1/01/2002 11:00";"5.075";"17.0654600944755";"-0.584446862900336";"-17.4372826095476";"-17.6537346126706";"-25.4085743798893";"17.7296755628655";"-15.8775237378921"
"1/01/2002 12:00";"7.375";"17.5775994828392";"-15.7581119400449";"-20.7328843929107";"-20.9530239078919";"-33.3518431977141";"32.4525336815565";"-10.0650906692859"
"1/01/2002 13:00";"9.725";"18.1356736824822";"-29.3741568165732";"-22.6962849684448";"-22.9188150065259";"-39.3046586544787";"45.0439079467328";"-4.62138016668269"
"1/01/2002 14:00";"11.725";"18.6140607081242";"-36.8141127817797";"-20.570227478112";"-20.7950930570705";"-38.759520967981";"58.1432663794676";"-0.579089942085866"
"1/01/2002 15:00";"13.025";"18.9994409584734";"-41.7473876114037";"-17.4178433193223";"-17.6450785732229";"-35.5282865546612";"64.0126992039434";"0.711734749204084"
"1/01/2002 16:00";"13.525";"19.2344631620274";"-41.2154259340702";"-12.1750771657924";"-12.4041003923483";"-28.2870734769115";"65.6280327873182";"1.15825498818463"
"1/01/2002 17:00";"13.225";"19.306292065751";"-36.6762554817882";"-6.02222600195183";"-6.25293150210631";"-18.7833886101619";"61.7524434298427";"-0.235731174555422"
"1/01/2002 18:00";"12.35";"19.1873768751644";"-26.6440212613793";"1.59827301944745";"1.36638110620648";"-6.41570028975607";"53.1674283893783";"-3.92954019816448"
"1/01/2002 19:00";"11.05";"18.9294910956733";"-15.4183661133346";"8.05699278066058";"7.824588303803";"4.96634625731815";"39.0352796463536";"-9.45241444226884"
"1/01/2002 20:00";"9.725";"18.6592840781327";"-7.29891257799187";"10.6094621574719";"10.3787723356192";"11.1433162922393";"22.8443190493044";"-15.5754571945446"
"1/01/2002 21:00";"8.35";"18.3479431894865";"1.58950896306516";"12.5385781391654";"12.3107119843148";"16.1084309901081";"12.8205209479698";"-19.2810717598018"
"1/01/2002 22:00";"6.95";"18.0170906660935";"10.0473866199583";"13.6232906081839";"13.3989908158373";"19.5136826269933";"6.32300199638507";"-22.5573451395038"
"1/01/2002 23:00";"6";"17.6999496545042";"18.1078018904607";"14.1801086929996";"13.9592995460966";"21.8240419592154";"1.59490730557775";"-25.5540031501441"
"2/01/2002 00:00";"4.675";"17.3395577344876";"27.6953838725253";"15.6204849368782";"15.4023577354764";"24.9979339207746";"0.0733683160791543";"-26.893769061123"
"2/01/2002 01:00";"3.925";"16.9983538284807";"35.4798255529983";"15.639806437708";"15.4241483542792";"26.0183174452877";"-2.47284083635179";"-29.2356966886329"
"2/01/2002 02:00";"3.425";"16.6817868551716";"42.516850468524";"15.2178592364343";"15.003801400228";"26.2532229541621";"-5.37326584778896";"-31.1018135426824"
"2/01/2002 03:00";"3.075";"16.3791787864868";"48.9873008309074";"14.7132392849352";"14.4998188813384";"26.2168162324143";"-8.09661726896456";"-32.3919154293381"
"2/01/2002 04:00";"2.85";"16.0929314434954";"54.7888870968218";"14.0871412212963";"13.8735636145022";"25.8792432249786";"-10.7585158024752";"-33.4134365813252"
"2/01/2002 05:00";"2.725";"15.8252900127063";"59.9277367070355";"13.3608385540632";"13.146354729728";"25.2863403289012";"-13.2616891036193";"-34.0794543438287"
