Fecha,Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure
0,2001.0,6.526027397260274,15.72054794520548,0.0,30.0,0.0,0.0,1.2904109589041095,0.13602739726027396,1.7539726027397262,92.49501369863013,4.572602739726028,641.7808219178082
1,2001.0,6.526027397260274,15.72054794520548,1.0,30.0,0.0,0.0,1.126027397260274,0.13602739726027396,1.7005479452054795,93.08049315068493,4.279452054794521,640.8219178082192
2,2001.0,6.526027397260274,15.72054794520548,2.0,30.0,0.0,0.0,0.915068493150685,0.13602739726027396,1.6608219178082193,93.40956164383562,4.005479452054795,640.5753424657535
3,2001.0,6.526027397260274,15.72054794520548,3.0,30.0,0.0,0.0,0.7123287671232876,0.13602739726027396,1.662191780821918,93.42435616438355,3.734246575342466,640.6849315068494
4,2001.0,6.526027397260274,15.72054794520548,4.0,30.0,0.0,0.0,0.5589041095890411,0.13602739726027396,1.7063013698630138,93.51301369863013,3.4602739726027396,641.0958904109589
5,2001.0,6.526027397260274,15.72054794520548,5.0,30.0,0.0,0.0,0.4273972602739726,0.13602739726027396,1.9356164383561645,92.01208219178083,3.5424657534246577,642.2465753424658
6,2001.0,6.526027397260274,15.72054794520548,6.0,30.0,24.805479452054794,182.2164383561644,0.33424657534246577,0.13602739726027396,2.524931506849315,81.17871232876712,5.323287671232877,643.945205479452
7,2001.0,6.526027397260274,15.72054794520548,7.0,30.0,88.56986301369864,422.96712328767126,-0.005479452054794521,0.13602739726027396,2.8734246575342466,63.78761643835616,8.528767123287672,645.2328767123288
8,2001.0,6.526027397260274,15.72054794520548,8.0,30.0,162.52602739726026,445.9178082191781,-0.7315068493150685,0.13602739726027396,2.7041095890410958,49.45682191780822,11.526027397260274,645.6986301369863
9,2001.0,6.526027397260274,15.72054794520548,9.0,30.0,246.46301369863014,412.03287671232874,-1.2821917808219179,0.13602739726027396,2.4715068493150687,40.75317808219178,13.90958904109589,645.2876712328767
10,2001.0,6.526027397260274,15.72054794520548,10.0,30.0,308.413698630137,382.46849315068494,-1.463013698630137,0.13602739726027396,2.284383561643836,37.25890410958904,15.101369863013698,644.1643835616438
11,2001.0,6.526027397260274,15.72054794520548,11.0,30.0,369.18630136986303,331.0794520547945,-1.2821917808219179,0.13602739726027396,2.1235616438356164,36.03008219178082,15.816438356164383,642.6849315068494
12,2001.0,6.526027397260274,15.72054794520548,12.0,30.0,417.44931506849315,289.96712328767126,-0.9397260273972603,0.13602739726027396,2.0038356164383564,37.84271232876712,15.663013698630136,640.9041095890411
13,2001.0,6.526027397260274,15.72054794520548,13.0,30.0,370.85753424657537,286.88493150684934,-0.5041095890410959,0.13602739726027396,1.9175342465753427,41.73304109589041,14.715068493150685,640.1643835616438
14,2001.0,6.526027397260274,15.72054794520548,14.0,30.0,303.46849315068494,311.46849315068494,-0.019178082191780823,0.13602739726027396,1.8720547945205481,46.834410958904115,13.520547945205479,640.1095890410959
15,2001.0,6.526027397260274,15.72054794520548,15.0,30.0,217.41643835616438,303.8164383561644,0.3561643835616438,0.13602739726027396,1.8635616438356166,53.446876712328766,11.901369863013699,640.1369863013699
16,2001.0,6.526027397260274,15.72054794520548,16.0,30.0,124.04383561643836,263.8931506849315,0.6794520547945205,0.13602739726027396,1.8534246575342466,62.17863013698631,9.876712328767123,640.2739726027397
17,2001.0,6.526027397260274,15.72054794520548,17.0,30.0,44.73150684931507,169.65753424657535,0.9643835616438357,0.13602739726027396,1.847945205479452,72.55969863013699,7.920547945205479,640.931506849315
18,2001.0,6.526027397260274,15.72054794520548,18.0,30.0,0.0,0.0,1.3643835616438356,0.13602739726027396,1.9221917808219178,81.27698630136987,6.610958904109589,642.1643835616438
19,2001.0,6.526027397260274,15.72054794520548,19.0,30.0,0.0,0.0,1.547945205479452,0.13602739726027396,1.9772602739726028,84.70205479452055,6.156164383561644,643.2602739726027
20,2001.0,6.526027397260274,15.72054794520548,20.0,30.0,0.0,0.0,1.5972602739726027,0.13602739726027396,1.9495890410958905,87.16383561643835,5.816438356164384,644.3561643835617
21,2001.0,6.526027397260274,15.72054794520548,21.0,30.0,0.0,0.0,1.6054794520547946,0.13602739726027396,1.9126027397260275,89.22509589041096,5.495890410958904,644.7123287671233
22,2001.0,6.526027397260274,15.72054794520548,22.0,30.0,0.0,0.0,1.5424657534246575,0.13602739726027396,1.867123287671233,90.50180821917809,5.213698630136986,644.2739726027397
23,2001.0,6.526027397260274,15.72054794520548,23.0,30.0,0.0,0.0,1.4328767123287671,0.13602739726027396,1.8175342465753423,91.5781095890411,4.912328767123288,643.2602739726027
