,Date,Bomba auxiliar loop,3686 HEATED FLOOR,Calentador auxiliar,Bomba solar loop
0,1/01/2002 01:00,2.97068506810743,806.97242084982,0.0,0.0
1,1/01/2002 02:00,3.97521812743596,374.166612775811,211.812127807111,0.0
2,1/01/2002 03:00,4.32405521778566,122.138919866,430.832629595459,0.0
3,1/01/2002 04:00,4.48693099765856,37.7650819901891,430.832629595459,0.0
4,1/01/2002 05:00,4.49047346643192,28.6319735064254,430.832629595459,0.0
5,1/01/2002 06:00,4.49038429593789,28.4550109396071,430.832629595459,0.0
6,1/01/2002 07:00,4.4903034981885,29.4311123176855,430.832629595459,0.0
7,1/01/2002 08:00,4.39955362886835,28.9920892692211,430.832629595459,0.0
8,1/01/2002 09:00,3.84023882979764,30.6511853245122,430.832629595459,1.42450142450142
9,1/01/2002 10:00,2.42653920972923,29.0757085152662,430.832629595459,1.42450142450142
10,1/01/2002 11:00,1.75409723969564,31.2530212825291,430.832629595459,1.42450142450142
11,1/01/2002 12:00,0.586402593157155,12.3363964479306,350.202839928276,1.42450142450142
12,1/01/2002 13:00,0.0,0.0,6.10800024197124,1.42450142450142
13,1/01/2002 14:00,0.0,0.0,0.0,1.42450142450142
14,1/01/2002 15:00,0.0,0.0,0.0,1.42450142450142
15,1/01/2002 16:00,0.0,0.0,0.0,1.42450142450142
16,1/01/2002 17:00,0.0,0.0,0.0,0.0
17,1/01/2002 18:00,0.0,0.0,0.0,0.0
18,1/01/2002 19:00,0.0042260897411339,0.283774612680803,0.0,0.0
19,1/01/2002 20:00,0.0,0.0,0.0,0.0
20,1/01/2002 21:00,0.0,0.0,0.0,0.0
21,1/01/2002 22:00,0.0741853060562995,10.8694183305526,153.254504859107,0.0
22,1/01/2002 23:00,0.61817270441686,61.755217582035,430.832629595459,0.0
23,2/01/2002 00:00,1.37718653095458,56.544673617144,430.832629595459,0.0
24,2/01/2002 01:00,2.17370303311055,49.3451367006027,430.832629595459,0.0
25,2/01/2002 02:00,2.87415703275247,42.4724177939721,430.832629595459,0.0
26,2/01/2002 03:00,3.65696253187339,40.3245015289266,430.832629595459,0.0
27,2/01/2002 04:00,4.29349309825986,38.7461363432536,430.832629595459,0.0
28,2/01/2002 05:00,4.48994068837489,38.3889446913354,430.832629595459,0.0
29,2/01/2002 06:00,4.48989088836058,39.4105712943311,430.832629595459,0.0
30,2/01/2002 07:00,4.48983614830616,40.3355519007501,430.832629595459,0.0
31,2/01/2002 08:00,4.48978108059743,41.0875010584814,430.832629595459,0.0
32,2/01/2002 09:00,4.48972574162402,36.1431262663042,430.832629595459,1.42450142450142
33,2/01/2002 10:00,4.22784218745599,32.9656403560907,430.832629595459,1.42450142450142
34,2/01/2002 11:00,3.63635199140748,34.8573479130195,430.832629595459,1.42450142450142
35,2/01/2002 12:00,3.14867159634498,34.6221505450394,430.832629595459,1.42450142450142
36,2/01/2002 13:00,2.19337643742859,32.4227186936896,430.832629595459,1.42450142450142
37,2/01/2002 14:00,1.32943273595594,27.0512387320419,430.832629595459,1.42450142450142
38,2/01/2002 15:00,0.565411921260099,12.3957728120404,430.832629595459,1.42450142450142
39,2/01/2002 16:00,0.177303337005215,0.0,388.552872732003,1.42450142450142
40,2/01/2002 17:00,0.0804548232456744,0.0,220.559755513677,0.0
41,2/01/2002 18:00,0.192395361189235,0.0,398.813078771392,0.0
42,2/01/2002 19:00,0.625301940027457,18.1018394395741,430.832629595459,0.0
43,2/01/2002 20:00,1.33670869450231,30.8519192422693,430.832629595459,0.0
44,2/01/2002 21:00,1.9999268410415,33.3284318334898,430.832629595459,0.0
45,2/01/2002 22:00,2.73386763847964,33.7659737927794,430.832629595459,0.0
46,2/01/2002 23:00,3.44294375049876,34.2126366007614,430.832629595459,0.0
47,3/01/2002 00:00,4.11059280621197,34.3407485682618,430.832629595459,0.0
48,3/01/2002 01:00,4.48389436296198,32.8950542935275,430.832629595459,0.0
49,3/01/2002 02:00,4.48951500203967,33.444246057604,430.832629595459,0.0
50,3/01/2002 03:00,4.48945955881626,34.0532130715804,430.832629595459,0.0
51,3/01/2002 04:00,4.48939828408752,34.6902472824919,430.832629595459,0.0
52,3/01/2002 05:00,4.48933157452772,35.3533021573032,430.832629595459,0.0
53,3/01/2002 06:00,4.48926006395597,36.030897361862,430.832629595459,0.0
54,3/01/2002 07:00,4.4891861573911,36.6425181012811,430.832629595459,0.0
55,3/01/2002 08:00,4.48911016613175,33.6982002777688,430.832629595459,0.0
56,3/01/2002 09:00,4.48737558923084,33.7954461062384,430.832629595459,1.42450142450142
57,3/01/2002 10:00,3.68664435068337,37.2229827007611,430.832629595459,1.42450142450142
58,3/01/2002 11:00,3.11345030869376,37.6150985735521,430.832629595459,1.42450142450142
59,3/01/2002 12:00,2.12169703506971,31.8289690820441,430.832629595459,1.42450142450142
60,3/01/2002 13:00,1.33095996825563,27.4023610570931,430.832629595459,1.42450142450142
61,3/01/2002 14:00,1.18680508588825,28.9571664742445,430.832629595459,1.42450142450142
62,3/01/2002 15:00,1.03304854344231,29.9096147292397,430.832629595459,1.42450142450142
63,3/01/2002 16:00,0.590361863728617,11.2185685670551,430.832629595459,1.42450142450142
64,3/01/2002 17:00,0.295234656320056,0.0,430.832629595459,0.0
65,3/01/2002 18:00,0.356178916967346,0.0,430.832629595459,0.0
66,3/01/2002 19:00,0.874722328250683,13.1667675521627,430.832629595459,0.0
67,3/01/2002 20:00,1.62833783449234,28.2115021612557,430.832629595459,0.0
68,3/01/2002 21:00,2.25259825803988,31.6318193070841,430.832629595459,0.0
